title,authors,description,published_date
Computation and the Humanities,"Julianne Nyhan,Andrew Flinn","This book addresses the application of computing to cultural heritage and the discipline of Digital Humanities that formed around it. Digital Humanities research is transforming how the Human record can be transmitted, shaped, understood, questioned and imagined and it has been ongoing for more than 70 years. However, we have no comprehensive histories of its research trajectory or its disciplinary development. The authors make a first contribution towards remedying this by uncovering, documenting, and analysing a number of the social, intellectual and creative processes that helped to shape this research from the 1950s until the present day. By taking an oral history approach, this book explores questions like, among others, researchers’ earliest memories of encountering computers and the factors that subsequently prompted them to use the computer in Humanities research. Computation and the Humanities will be an essential read for cultural and computing historians, digital humanists and those interested in developments like the digitisation of cultural heritage and artefacts. This book is open access under a CC BY-NC 2.5 license",2016-11-23
Digital Humanities,Olivier Le Deuff,"Where do the digital humanities really come from? Are they really news? What are the theoretical and technical influences that participate in this scientific field that arouses interest and questions? This book tries to show and explain the main theories and methods that have allowed their current constitution. The aim of the book is to propose a new way to understand the history of digital humanities in a broader perspective than the classic history with the project of Robert Busa. The short digital humanities perspective neglects lots of actors and disciplines. The book tries to show the importance of other fields than humanities computing like scientometry, infometry, econometry, mathematical linguistics, geography and documentation.",2018-04-16
Digital_humanities,"Anne Burdick,Johanna Drucker,Peter Lunenfeld,Todd Samuel Presner,Jeffrey Thompson Schnapp",NA,2019
Digital Humanities,Olivier Le Deuff,"Where do the digital humanities really come from? Are they really news? What are the theoretical and technical influences that participate in this scientific field that arouses interest and questions? This book tries to show and explain the main theories and methods that have allowed their current constitution. The aim of the book is to propose a new way to understand the history of digital humanities in a broader perspective than the classic history with the project of Robert Busa. The short digital humanities perspective neglects lots of actors and disciplines. The book tries to show the importance of other fields than humanities computing like scientometry, infometry, econometry, mathematical linguistics, geography and documentation.",2018-04-16
Empowering the Visibility of Croatian Cultural Heritage through the Digital Humanities,"Marijana Tomić,Mirna Willer,Nives Tomašević","This volume brings together selected papers covering topics related to the contemporary cultural heritage research framework within the field of Digital Humanities (DH). Intended for scholars, students and practitioners, the book provides the reader with insights into the description and access, and digitization of cultural heritage. It also explores Croatian Glagolitic and Latin written heritage as a source for historiographic and linguistic research. It is organized into seven topics, each questioning one of the research areas within the DH framework, namely DH as a contemporary cultural heritage research framework; the description of, and access to, cultural heritage; the digitization of cultural heritage; written heritage as a source for historiographic and linguistic research; literary studies; research and communication of cultural heritage; and education in the field of DH.",2020-06-15
Big Digital Humanities,Patrik Svensson,"Big Digital Humanities has its origins in a series of seminal articles Patrik Svensson published in the Digital Humanities Quarterly between 2009 and 2012. As these articles were coming out, enthusiasm around Digital Humanities was acquiring a great deal of momentum and significant disagreement about what did or didn’t “count” as Digital Humanities work. Svensson’s articles provided a widely sought after omnibus of Digital Humanities history, practice, and theory. They were informative and knowledgeable and tended to foreground reportage and explanation rather than utopianism or territorial contentiousness. In revising his original work for book publication, Svensson has responded to both subsequent feedback and new developments. Svensson’s own unique perspective and special stake in the Digital Humanities conversation comes from his role as director of the HUMlab at Umeå University. HUMlab is a unique collaborative space and Digital Humanities center, which officially opened its doors in 2000. According to its own official description, the HUMlab is an open, creative studio environment where “students, researchers, artists, entrepreneurs and international guests come together to engage in dialogue, experiment with technology, take on challenges and move scholarship forward.” It is this last element “moving scholarship forward” that Svensson argues is the real opportunity in what he terms the “big digital humanities,” or digital humanities as practiced in collaborative spaces like the HUMlab, and he is uniquely positioned to take an account of this evolving dimension of Digital Humanities practice.",2016-07-22
Digital_humanities,"Anne Burdick,Johanna Drucker,Peter Lunenfeld,Todd Samuel Presner,Jeffrey Thompson Schnapp",NA,2019
Defining Digital Humanities,"Melissa Terras,Julianne Nyhan,Edward Vanhoutte","Digital Humanities is becoming an increasingly popular focus of academic endeavour. There are now hundreds of Digital Humanities centres worldwide and the subject is taught at both postgraduate and undergraduate level. Yet the term ’Digital Humanities’ is much debated. This reader brings together, for the first time, in one core volume the essential readings that have emerged in Digital Humanities. We provide a historical overview of how the term ’Humanities Computing’ developed into the term ’Digital Humanities’, and highlight core readings which explore the meaning, scope, and implementation of the field. To contextualize and frame each included reading, the editors and authors provide a commentary on the original piece. There is also an annotated bibliography of other material not included in the text to provide an essential list of reading in the discipline. This text will be required reading for scholars and students who want to discover the history of Digital Humanities through its core writings, and for those who wish to understand the many possibilities that exist when trying to define Digital Humanities.",2016-05-13
A New Companion to Digital Humanities,"Susan Schreibman,Ray Siemens,John Unsworth",NA,2015-11-06
Digital Humanities and Christianity,"Tim Hutchings,Claire Clivaz","This volume provides the first comprehensive introduction to the intersections between Christianity and the digital humanities. DH is a well-established, fast-growing, multidisciplinary field producing computational applications and analytical models to enable new kinds of research. Scholars of Christianity were among the first pioneers to explore these possibilities, using digital approaches to transform the study of Christian texts, history and ideas, and innovative work is taking place today all over the world. This volume aims to celebrate and continue that legacy by bringing together 15 of the most exciting contemporary projects, grouped into four categories. “Canon, corpus and manuscript” examines physical texts and collections. “Words and meanings” explores digital approaches to language and linguistics. “Digital history” uses digital techniques to explore the Christian past, and “Theology and pedagogy” engages with digital approaches to teaching, formation and Christian ideas. This volume introduces key debates, shares exciting initiatives, and aims to encourage new innovations in analysis and communication. Christianity and the Digital Humanities is ideally suited as a starting point for students and researchers interested in this vast and complex field.",2021-09-20
"Composition, Creative Writing Studies, and the Digital Humanities",Adam Koehler,"In an era of blurred generic boundaries, multimedia storytelling, and open-source culture, creative writing scholars stand poised to consider the role that technology-and the creative writer's playful engagement with technology-has occupied in the evolution of its theory and practice. Composition, Creative Writing Studies and the Digital Humanities is the first book to bring these three fields together to open up new opportunities and directions for creative writing studies. Placing the rise of Creative Writing Studies alongside the rise of the digital humanities in Composition/Rhetoric, Adam Koehler shows that the use of new media and its attendant re-evaluation of fundamental assumptions in the field stands to guide Creative Writing Studies into a new era. Covering current developments in composition and the digital humanities, this book re-examines established assumptions about process, genre, authority/authorship and pedagogical practice in the creative writing classroom.",2017-01-26
The Shape of Data in Digital Humanities,"Julia Flanders,Fotis Jannidis","Data and its technologies now play a large and growing role in humanities research and teaching. This book addresses the needs of humanities scholars who seek deeper expertise in the area of data modeling and representation. The authors, all experts in digital humanities, offer a clear explanation of key technical principles, a grounded discussion of case studies, and an exploration of important theoretical concerns. The book opens with an orientation, giving the reader a history of data modeling in the humanities and a grounding in the technical concepts necessary to understand and engage with the second part of the book. The second part of the book is a wide-ranging exploration of topics central for a deeper understanding of data modeling in digital humanities. Chapters cover data modeling standards and the role they play in shaping digital humanities practice, traditional forms of modeling in the humanities and how they have been transformed by digital approaches, ontologies which seek to anchor meaning in digital humanities resources, and how data models inhabit the other analytical tools used in digital humanities research. It concludes with a glossary chapter that explains specific terms and concepts for data modeling in the digital humanities context. This book is a unique and invaluable resource for teaching and practising data modeling in a digital humanities context.",2018-11-02
The Routledge Handbook of English Language and Digital Humanities,"Svenja Adolphs,Dawn Knight","The Routledge Handbook of English Language and Digital Humanities serves as a reference point for key developments related to the ways in which the digital turn has shaped the study of the English language and of how the resulting methodological approaches have permeated other disciplines. It draws on modern linguistics and discourse analysis for its analytical methods and applies these approaches to the exploration and theorisation of issues within the humanities. Divided into three sections, this handbook covers: sources and corpora; analytical approaches; English language at the interface with other areas of research in the digital humanities. In covering these areas, more traditional approaches and methodologies in the humanities are recast and research challenges are re-framed through the lens of the digital. The essays in this volume highlight the opportunities for new questions to be asked and long-standing questions to be reconsidered when drawing on the digital in humanities research. This is a ground-breaking collection of essays offering incisive and essential reading for anyone with an interest in the English language and digital humanities.",2020-04-16
Scholarly Adventures in Digital Humanities,"Claire Battershill,Helen Southworth,Alice Staveley,Michael Widner,Elizabeth Willson Gordon,Nicola Wilson","This book addresses the gap between print and digital scholarly approaches by combining both praxis and theory in a case study of a new international collaborative digital project, the Modernist Archives Publishing Project (MAPP). MAPP is an international collaborative digital project, funded by the Social Sciences and Humanities Research Council of Canada, that uses digital tools to showcase archival traces of twentieth-century publishing. The twenty-first century has witnessed, and is living through, some of the most dynamic changes ever experienced in the publishing industry, arguably altering our very understanding of what it means to read a book. This book brings to both general readers and scholarly researchers a new way of accessing, and thereby assessing, the historical meanings of change within the twentieth-century publication industry by building a resource which organises, interacts with, and uses historical information about book culture to narrate the continuities and discontinuities in reading and publishing over the last century.",2017-05-17
In the Shadows of the Digital Humanities,"Elizabeth Weed,Ellen Rooney","The technological and intellectual impact of the digital humanities on the university is undeniable. Even as some observers hail the digital humanities as a savior of humanistic disciplines in crisis, critical questions about its nature and potential remain unanswered. The contributors to this special issue explicitly critique and engage the digital humanities, rather than simply celebrating the still-emerging field. This collection brings together scholars from the center of digital humanities initiatives and from the closely related fields of new media and software studies, among others, to interrogate some of the assumptions and elisions at play in previous discussions of the digital humanities and assess their impact on the humanities and the university at large. Topics include the national security state; games and “gamification”; the funding crisis in higher education and MOOCs; and issues of race, gender, and class marginalization in digital humanities research. Contributors: Fiona M. Barnett, Wendy Hui Kyong Chun, Michael Dieter, Alexander R. Galloway, David Golumbia, Richard Grusin, Patrick Jagoda, Matthew Kirschenbaum, Adeline Koh, Brian Lennon, Tara McPherson, Rita Raley, Lisa Marie Rhody",2014-03-28
Design and the Digital Humanities,Stan Ruecker,NA,NA
Digital Humanities and Scholarly Research Trends in the Asia-Pacific,"Wong, Shun-han Rebekah,Li, Haipeng,Chou, Min","Digital humanities is a dynamic and emerging field that aspires to enhance traditional research and scholarship through digital media. Although countries around the world are witnessing the widespread adoption of digital humanities, only a small portion of the literature discusses its development in the Asia Pacific region. Digital Humanities and Scholarly Research Trends in the Asia-Pacific provides innovative insights into the development of digital humanities and their ability to facilitate academic exchange and preserve cultural heritage. The content covers challenges including the need to maintain digital humanities momentum in libraries and research communities, to increase international collaboration, to maintain and promote developed digital projects, to deploy and redeploy resources to support research, and to build new skillsets and new professionals in the library. It is designed for librarians, government agencies, industry professionals, academicians, and researchers.",2019-01-25
Exploring Digital Humanities in India,"Maya Dodd,Nidhi Kalra","This book explores the emergence of digital humanities in the Indian context. It looks at how online and digital resources have transformed classroom and research practices. It examines some fundamental questions: What is digital humanities? Who is a digital humanist? What is its place in the Indian context? The chapters in the volume: • study the varied practices and pedagogies involved in incorporating the ‘digital’ into traditional classrooms; • showcase how researchers across disciplinary lines are expanding their scope of research, by adding a ‘digital’ component to update their curriculum to contemporary times; • highlight how this has also created opportunities for researchers to push the boundaries of their pedagogy and encouraged students to create ‘live projects’ with the aid of digital platforms; and • track changes in the language of research, documentation, archiving and reproduction as new conversations are opening up across Indian languages. A major intervention in the social sciences and humanities, this book will be of great interest to scholars and researchers of media studies, especially new and digital media, education, South Asian studies and cultural studies.",2020-07-09
Rhetoric and the Digital Humanities,"Jim Ridolfo,William Hart-Davidson","The digital humanities is a rapidly growing field that is transforming humanities research through digital tools and resources. Researchers can now quickly trace every one of Issac Newton’s annotations, use social media to engage academic and public audiences in the interpretation of cultural texts, and visualize travel via ox cart in third-century Rome or camel caravan in ancient Egypt. Rhetorical scholars are leading the revolution by fully utilizing the digital toolbox, finding themselves at the nexus of digital innovation. Rhetoric and the Digital Humanities is a timely, multidisciplinary collection that is the first to bridge scholarship in rhetorical studies and the digital humanities. It offers much-needed guidance on how the theories and methodologies of rhetorical studies can enhance all work in digital humanities, and vice versa. Twenty-three essays over three sections delve into connections, research methodology, and future directions in this field. Jim Ridolfo and William Hart-Davidson have assembled a broad group of more than thirty accomplished scholars. Read together, these essays represent the cutting edge of research, offering guidance that will energize and inspire future collaborations.",2015-01-19
Using Digital Humanities in the Classroom,"Claire Battershill,Shawna Ross","Rooted in the day-to-day experience of teaching and written for those without specialist technical knowledge, this book is the first practical guide to using digital tools and resources in the humanities classroom. Using Digital Humanities in the Classroom covers such topics as: · Overcoming resistance to technology – your own, your colleagues' and your students' · Finding, evaluating and using digital resources · Designing syllabi and planning classroom activities and assignments · Solving problems when technology goes wrong · Using digital tools for collaborative projects, course work and theses · Enhancing your teaching by finding support communities and connecting to your research Taking a step-by-step approach to incorporating digital humanities tools into your teaching, the book is also supported by a companion website, including tutorials, sample classroom activity prompts and assignments, and a bibliographic essay for each book chapter.",2017-10-05
Data Analytics in Digital Humanities,Shalin Hai-Jew,"This book covers computationally innovative methods and technologies including data collection and elicitation, data processing, data analysis, data visualizations, and data presentation. It explores how digital humanists have harnessed the hypersociality and social technologies, benefited from the open-source sharing not only of data but of code, and made technological capabilities a critical part of humanities work. Chapters are written by researchers from around the world, bringing perspectives from diverse fields and subject areas. The respective authors describe their work, their research, and their learning. Topics include semantic web for cultural heritage valorization, machine learning for parody detection by classification, psychological text analysis, crowdsourcing imagery coding in natural disasters, and creating inheritable digital codebooks.Designed for researchers and academics, this book is suitable for those interested in methodologies and analytics that can be applied in literature, history, philosophy, linguistics, and related disciplines. Professionals such as librarians, archivists, and historians will also find the content informative and instructive.",2017-05-03
Oral History and Digital Humanities,Douglas A. Boyd,"Exploring the developments that have occurred in the practice of oral history since digital audio and video became viable, this book explores various groundbreaking projects in the history of digital oral history, distilling the insights of pioneers in the field and applying them to the constantly changing electronic landscape of today.",2014-12-17
A Companion to Digital Humanities,"Susan Schreibman,Ray Siemens,John Unsworth","This Companion offers a thorough, concise overview of the emerging field of humanities computing. Contains 37 original articles written by leaders in the field. Addresses the central concerns shared by those interested in the subject. Major sections focus on the experience of particular disciplines in applying computational methods to research problems; the basic principles of humanities computing; specific applications and methods; and production, dissemination and archiving. Accompanied by a website featuring supplementary materials, standard readings in the field and essays to be included in future editions of the Companion.",2008-03-03
Introduction to Digital Humanities,Kathryn C. Wymer,"""Introduction to Digital Humanities is designed for researchers, teachers, and learners in humanities subject areas who wish to align their work with the field of digital humanities. Many institutions are encouraging digital approaches to the humanities, and this book offers guidance for students and scholars wishing to make that move by reflecting on why and when digital humanities tools might usefully be applied to engage in the kind of inquiry that is the basis for study in humanities disciplines. In other words, this book puts the ""humanities"" before the ""digital"" and offers the reader a conceptual framework for how digital projects can advance research and study in the humanities. Both established and early career humanities scholars who wish to embrace digital possibilities in their research and teaching will find insights on current approaches to the digital humanities, as well as helpful studies of successful projects""--",2021
Integrating the Digital Humanities into the Second Language Classroom,Melinda A. Cro,"Second language classrooms provide unique opportunities for intellectual growth, cognitive skill development, and cultural exchange. In Integrating the Digital Humanities into the Second Language Classroom, Melinda A. Cro makes the case for bringing the digital humanities (DH) into that sphere, strengthening students’ language skills while furthering their critical thinking and research abilities. Written as a practical guide for language instructors new to DH, Cro addresses practitioners’ most common questions: What are the benefits of DH for language learning in particular? How can DH be used at different levels of instruction? What types of DH tools are out there, and what kinds of knowledge must students and teachers bring to the table? Integrating the Digital Humanities into the Second Language Classroom is filled with real-world examples and concrete recommendations, making it an ideal introduction for language teachers intrigued by the potential of DH.",2020-03-02
Information and Knowledge Organisation in Digital Humanities,"Koraljka Golub,Ying-Hsang Liu","Information and Knowledge Organisation explores the role of knowledge organisation in the digital humanities. By focusing on how information is described, represented and organised in both research and practice, this work furthers the transdisciplinary nature of digital humanities. Including contributions from Asia, Australia, Europe, North America and the Middle East, the volume explores the potential uses of, and challenges involved in, applying the organisation of information and knowledge in the various areas of Digital Humanities. With a particular focus on the digital worlds of cultural heritage collections, the book also includes chapters that focus on machine learning, knowledge graphs, text analysis, text annotations and network analysis. Other topics covered include: semantic technologies, conceptual schemas and data augmentation, digital scholarly editing, metadata creation, browsing, visualisation and relevance ranking. Most importantly, perhaps, the book provides a starting point for discussions about the impact of information and knowledge organisation and related tools on the methodologies used in the Digital Humanities field. Information and Knowledge Organisation is intended for use by researchers, students and professionals interested in the role information and knowledge organisation plays in the Digital Humanities. It will be essential reading for those working in library and information science, computer science and across the humanities. The Open Access version of this book, available at www.taylorfrancis.com, has been made available under a Creative Commons Attribution-Non Commercial-No Derivatives 4.0 license.",2021-12-24
Thomas Pynchon and the Digital Humanities,Erik Ketzan,"Thomas Pynchon's style has dazzled and bewildered readers and critics since the 1960s, and this book employs computational methods from the digital humanities to reveal heretofore unknown stylistic trends over the course of Pynchon's career, as well as challenge critical assumptions regarding foregrounded and supposedly “Pynchonesque” stylistic features: ambiguity/vagueness, acronyms, ellipsis marks, profanity, and archaic stylistics in Mason & Dixon. As the first book-length stylistic or computational stylistic examination of Pynchon's oeuvre, Thomas Pynchon and the Digital Humanities provides a groundwork of stylistic experiments and interpretations, with over 60 graphs and tables, presented in a manner in which both technical and non-technical audiences may follow.",2021-11-18
Access and Control in Digital Humanities,Shane Hawkins,"Access and Control in Digital Humanities explores a range of important questions about who controls data, who is permitted to reproduce or manipulate data, and what sorts of challenges digital humanists face in making their work accessible and useful. Contributors to this volume present case studies and theoretical approaches from their experience with applications for digital technology in classrooms, museums, archives, in the field and with the general public. Offering potential answers to the issues of access and control from a variety of perspectives, the volume acknowledges that access is subject to competing interests of a variety of stakeholders. Museums, universities, archives, and some communities all place claims on how data can or cannot be shared through digital initiatives and, given the collaborative nature of most digital humanities projects, those in the field need to be cognizant of the various and often competing interests and rights that shape the nature of access and how it is controlled. Access and Control in Digital Humanities will be of interest to researchers, academics and graduate students working in a variety of fields, including digital humanities, library and information science, history, museum and heritage studies, conservation, English literature, geography and legal studies.",2021-05-14
